"vehicle","path","value"
"1","1",0.00
"1","2",1.00
"1","3",0.00
"1","4",0.00
"1","5",0.00
"1","6",0.00
"1","7",0.00
"1","8",0.00
"1","9",0.00
"1","10",0.00
"1","0",0.00
"2","1",1.00
"2","2",0.00
"2","3",0.00
"2","4",0.00
"2","5",0.00
"2","6",0.00
"2","7",0.00
"2","8",0.00
"2","9",0.00
"2","10",0.00
"2","0",0.00
"3","1",1.00
"3","2",0.00
"3","3",0.00
"3","4",0.00
"3","5",0.00
"3","6",0.00
"3","7",0.00
"3","8",0.00
"3","9",0.00
"3","10",0.00
"3","0",0.00
"4","1",1.00
"4","2",0.00
"4","3",0.00
"4","4",0.00
"4","5",0.00
"4","6",0.00
"4","7",0.00
"4","8",0.00
"4","9",0.00
"4","10",0.00
"4","0",0.00
"5","1",1.00
"5","2",0.00
"5","3",0.00
"5","4",0.00
"5","5",0.00
"5","6",0.00
"5","7",0.00
"5","8",0.00
"5","9",0.00
"5","10",0.00
"5","0",0.00
"6","1",1.00
"6","2",0.00
"6","3",0.00
"6","4",0.00
"6","5",0.00
"6","6",0.00
"6","7",0.00
"6","8",0.00
"6","9",0.00
"6","10",0.00
"6","0",0.00
"7","1",0.00
"7","2",0.00
"7","3",0.00
"7","4",0.00
"7","5",1.00
"7","6",0.00
"7","7",0.00
"7","8",0.00
"7","9",0.00
"7","10",0.00
"7","0",0.00
"8","1",1.00
"8","2",0.00
"8","3",0.00
"8","4",0.00
"8","5",0.00
"8","6",0.00
"8","7",0.00
"8","8",0.00
"8","9",0.00
"8","10",0.00
"8","0",0.00
"9","1",0.00
"9","2",0.00
"9","3",0.00
"9","4",1.00
"9","5",0.00
"9","6",0.00
"9","7",0.00
"9","8",0.00
"9","9",0.00
"9","10",0.00
"9","0",0.00
"10","1",0.00
"10","2",0.00
"10","3",0.00
"10","4",0.00
"10","5",1.00
"10","6",0.00
"10","7",0.00
"10","8",0.00
"10","9",0.00
"10","10",0.00
"10","0",0.00
"11","1",0.00
"11","2",0.00
"11","3",0.00
"11","4",0.00
"11","5",1.00
"11","6",0.00
"11","7",0.00
"11","8",0.00
"11","9",0.00
"11","10",0.00
"11","0",0.00
"12","1",1.00
"12","2",0.00
"12","3",0.00
"12","4",0.00
"12","5",0.00
"12","6",0.00
"12","7",0.00
"12","8",0.00
"12","9",0.00
"12","10",0.00
"12","0",0.00
"13","1",1.00
"13","2",0.00
"13","3",0.00
"13","4",0.00
"13","5",0.00
"13","6",0.00
"13","7",0.00
"13","8",0.00
"13","9",0.00
"13","10",0.00
"13","0",0.00
"14","1",1.00
"14","2",0.00
"14","3",0.00
"14","4",0.00
"14","5",0.00
"14","6",0.00
"14","7",0.00
"14","8",0.00
"14","9",0.00
"14","10",0.00
"14","0",0.00
"15","1",1.00
"15","2",0.00
"15","3",0.00
"15","4",0.00
"15","5",0.00
"15","6",0.00
"15","7",0.00
"15","8",0.00
"15","9",0.00
"15","10",0.00
"15","0",0.00
"16","1",1.00
"16","2",0.00
"16","3",0.00
"16","4",0.00
"16","5",0.00
"16","6",0.00
"16","7",0.00
"16","8",0.00
"16","9",0.00
